timestamp,user,action,resource,source_ip,result
2026-09-17 15:46:00,nurse_das,DELETE_ATTEMPT_DENIED,s3://healthcare-data/raw-phi/,10.20.40.166,DENIED
2026-06-21 04:07:00,nurse_das,EXPORT_REPORT,s3://healthcare-data/raw-phi/,10.20.113.249,SUCCESS
2026-01-04 07:53:00,nurse_das,LOGIN,aurora://healthcaredb,10.20.88.74,SUCCESS
2026-03-29 02:17:00,nurse_iyer,FAILED_LOGIN,s3://healthcare-data/analytics/,10.20.194.107,DENIED
2026-05-06 04:48:00,nurse_das,EXPORT_REPORT,s3://healthcare-data/analytics/,10.20.108.202,SUCCESS
2026-03-12 13:26:00,analyst_rao,UPDATE_RECORD,aurora://healthcaredb,10.20.244.219,SUCCESS
2026-07-05 00:28:00,dr_singh,FAILED_LOGIN,s3://healthcare-data/raw-phi/,10.20.184.207,DENIED
2026-02-05 02:21:00,nurse_iyer,FAILED_LOGIN,aurora://healthcaredb,10.20.252.198,DENIED
2026-08-11 01:25:00,nurse_das,UPDATE_RECORD,s3://healthcare-data/raw-phi/,10.20.170.237,SUCCESS
2026-03-19 18:03:00,dr_shah,DOWNLOAD_ANALYTICS,s3://healthcare-data/analytics/,10.20.205.170,SUCCESS
2026-06-01 13:25:00,dr_shah,FAILED_LOGIN,s3://healthcare-data/analytics/,10.20.142.224,DENIED
2026-06-10 11:00:00,nurse_das,EXPORT_REPORT,aurora://healthcaredb,10.20.231.136,SUCCESS
2026-03-17 22:25:00,analyst_rao,FAILED_LOGIN,s3://healthcare-data/analytics/,10.20.53.228,DENIED
2026-08-15 22:22:00,nurse_das,FAILED_LOGIN,s3://healthcare-data/analytics/,10.20.104.199,DENIED
2026-06-04 02:02:00,admin_devops,UPDATE_RECORD,aurora://healthcaredb,10.20.100.186,SUCCESS
2026-03-06 16:34:00,nurse_iyer,DOWNLOAD_ANALYTICS,s3://healthcare-data/raw-phi/,10.20.24.131,SUCCESS
2026-06-09 16:21:00,nurse_das,FAILED_LOGIN,s3://healthcare-data/analytics/,10.20.41.6,DENIED
2026-05-13 07:53:00,nurse_das,VIEW_RECORD,aurora://healthcaredb,10.20.186.109,SUCCESS
2026-02-26 23:03:00,nurse_das,FAILED_LOGIN,aurora://healthcaredb,10.20.67.161,DENIED
2026-07-01 03:03:00,nurse_das,FAILED_LOGIN,s3://healthcare-data/analytics/,10.20.241.32,DENIED
2026-06-02 18:47:00,dr_kapoor,LOGIN,aurora://healthcaredb,10.20.87.252,SUCCESS
2026-04-30 11:19:00,nurse_iyer,UPDATE_RECORD,s3://healthcare-data/analytics/,10.20.201.209,SUCCESS
2026-03-13 22:24:00,admin_devops,DOWNLOAD_ANALYTICS,s3://healthcare-data/analytics/,10.20.64.27,SUCCESS
2026-04-09 11:29:00,dr_kapoor,EXPORT_REPORT,s3://healthcare-data/raw-phi/,10.20.183.109,SUCCESS
2026-07-30 02:05:00,dr_kapoor,DELETE_ATTEMPT_DENIED,aurora://healthcaredb,10.20.228.34,DENIED
2026-04-20 14:04:00,nurse_iyer,LOGIN,s3://healthcare-data/analytics/,10.20.135.104,SUCCESS
